name,link
Curaleaf - Bell,https://weedmaps.com/dispensaries/curaleaf-bell
Harvest of Apache Junction,https://weedmaps.com/dispensaries/harvest-of-apache-junction
Health for Life - Crismon,https://weedmaps.com/dispensaries/health-for-life-crismon
The Flower Shop – Mesa,https://weedmaps.com/dispensaries/sky-dispensaries-mesa
YiLo Superstore,https://weedmaps.com/dispensaries/yilo-superstore
Nirvana Center - Prescott Valley,https://weedmaps.com/dispensaries/the-nirvana-center-of-prescott-valley
Reef Dispensaries - Northwest Phoenix,https://weedmaps.com/dispensaries/reef-dispensaries-phoenix
Harvest HOC of North Mesa,https://weedmaps.com/dispensaries/harvest-hoc-of-north-mesa
JARS Cannabis - Metro,https://weedmaps.com/dispensaries/metro-meds-arizona
Oasis Cannabis | Glendale,https://weedmaps.com/dispensaries/oasis-dispensaries-glendale
Marigold,https://weedmaps.com/dispensaries/marigold
Sol Flower - Tempe McClintock,https://weedmaps.com/dispensaries/sol-flower-2
Berner's by Good Day Farm,https://weedmaps.com/dispensaries/good-day-farm-berners
Natural Relief Dispensary,https://weedmaps.com/dispensaries/natural-relief-dispensary
Custom Cannabis,https://weedmaps.com/dispensaries/natural-state-medical-group-2
Greenlight - Little Rock,https://weedmaps.com/dispensaries/herbology-little-rock
Native Green Little Rock,https://weedmaps.com/dispensaries/native-green-wellness-little-rock
Harvest Cannabis Dispensary,https://weedmaps.com/dispensaries/harvest-cannabis-dispensary-1
Arkansas Natural Products,https://weedmaps.com/dispensaries/arkansas-natural-products
Native Green Hensley,https://weedmaps.com/dispensaries/native-green-wellness-2
420 Dispensary,https://weedmaps.com/dispensaries/420-dispensary-russellville
Suite 443,https://weedmaps.com/dispensaries/suite-443
Fiddler's Green - Mountain View,https://weedmaps.com/dispensaries/fiddler-s-green
Green Springs Medical,https://weedmaps.com/dispensaries/green-springs-medical
The Treatment (taxes included*),https://weedmaps.com/dispensaries/the-treatment-cannabis-dispensary
Hash and Co.,https://weedmaps.com/dispensaries/hash-and-co
High Bank Cannabis Co.,https://weedmaps.com/dispensaries/high-bank-cannabis-co
Plant Family Therapeutics,https://weedmaps.com/dispensaries/plant-family-therapeutics
Spring River Dispensary,https://weedmaps.com/dispensaries/spring-river-dispensary
Good Day Farm - Monticello,https://weedmaps.com/dispensaries/good-day-farm-monticello
Greenlight - Helena,https://weedmaps.com/dispensaries/greenlight-helena
Crop,https://weedmaps.com/dispensaries/crop-1
The Greenery (fka Fort Cannabis Co.),https://weedmaps.com/dispensaries/fort-cannabis-co
Good Day Farm - Van Buren,https://weedmaps.com/dispensaries/good-day-farm-van-buren
Green Monkey Dispensary,https://weedmaps.com/dispensaries/green-monkey-dispensary
Blayes N Dino,https://weedmaps.com/dispensaries/blayes-n-dino
The Source Cannabis - West Plains,https://weedmaps.com/dispensaries/the-source-cannabis-west-plains
River Valley Natural Health,https://weedmaps.com/dispensaries/river-valley-natural-health-1
The Farmer's Wife - West Plains,https://weedmaps.com/dispensaries/the-farmer-s-wife-1
Greenlight - Branson,https://weedmaps.com/dispensaries/greenlight-branson
Emerald Cut,https://weedmaps.com/dispensaries/emerald-cut-cannabis-care-center-llc-2
Phresh OTD,https://weedmaps.com/dispensaries/phresh-otd
Tribal Nation Flower Co,https://weedmaps.com/dispensaries/tribal-nation-flower-co
The Artist Tree Weed Dispensary & Marijuana Delivery Fresno,https://weedmaps.com/dispensaries/the-artist-tree-fresno
Embarc - Blackstone,https://weedmaps.com/dispensaries/embarc-fresno
Cannable Cannabis Weed Dispensary Parlier,https://weedmaps.com/dispensaries/cannable-cannabis
Element 7 Mendota,https://weedmaps.com/dispensaries/element-7-mendota
Element 7 Firebaugh,https://weedmaps.com/dispensaries/element-7-firebaugh
Berner's Merced,https://weedmaps.com/dispensaries/berners-merced
Levels (Now Open),https://weedmaps.com/dispensaries/levels-coming-soon
Manzanita,https://weedmaps.com/dispensaries/manzanita
Blue Fire,https://weedmaps.com/dispensaries/blue-fire
Deli by Caliva - Hanford,https://weedmaps.com/dispensaries/deli-by-caliva-hanford
HerbNJoy - Hanford,https://weedmaps.com/dispensaries/herbnjoy-hanford
The Bakery - Atwater,https://weedmaps.com/dispensaries/the-bakery-atwater
One Plant Atwater,https://weedmaps.com/dispensaries/one-plant-atwater
Global Greenz,https://weedmaps.com/dispensaries/global-greenz-2
Valley Pure - Lemoore,https://weedmaps.com/dispensaries/valley-pure-lemoore
Natural Healing Center - Lemoore,https://weedmaps.com/dispensaries/natural-healing-center-lemoore
People's Remedy - Atwater,https://weedmaps.com/dispensaries/people-s-remedy
GreenBean Cannabis And Weed Dispensary,https://weedmaps.com/dispensaries/green-bean-pharm-3-2
Mammoth Holistics,https://weedmaps.com/dispensaries/mammoth-holistic
Valley Pure,https://weedmaps.com/dispensaries/valley-pure
United Growers Inc.,https://weedmaps.com/dispensaries/united-growers-inc
Valley Pure Farmersville,https://weedmaps.com/dispensaries/valley-pure-farmersville
Token Farms,https://weedmaps.com/dispensaries/token-farms-inc
Valley Pure Tulare,https://weedmaps.com/dispensaries/valley-pure-tulare
Token Farms Tulare,https://weedmaps.com/dispensaries/token-farms-tulare-dispensary
Herb'N Vibes,https://weedmaps.com/dispensaries/tulare-alternative-relief-assocition
The Honest Choice,https://weedmaps.com/dispensaries/the-honest-choice
Firehouse,https://weedmaps.com/dispensaries/firehouse-366
Perfect Union Weed Dispensary Turlock,https://weedmaps.com/dispensaries/perfect-union-turlock
